January 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-035,"Clearwater County",29.7,108,5.2,24.5
ID-037,"Custer County",21.2,95,4.0,17.2
ID-039,"Elmore County",31.5,117,6.3,25.2
ID-041,"Franklin County",26.1,102,5.2,20.9
ID-043,"Fremont County",21.5,114,5.9,15.6
ID-045,"Gem County",32.4,111,5.8,26.6
ID-047,"Gooding County",31.2,121,6.7,24.5
ID-049,"Idaho County",27.8,110,5.3,22.5
ID-051,"Jefferson County",20.9,100,4.7,16.2
ID-053,"Jerome County",32.7,120,7.5,25.2
ID-055,"Kootenai County",32.9,118,7.4,25.5
ID-057,"Latah County",33.0,113,6.1,26.9
ID-059,"Lemhi County",22.4,98,4.5,17.9
ID-061,"Lewis County",31.8,111,5.4,26.4
ID-063,"Lincoln County",28.2,115,6.6,21.6
ID-065,"Madison County",24.1,111,6.0,18.1
ID-067,"Minidoka County",28.3,111,6.6,21.7
ID-069,"Nez Perce County",34.7,113,6.0,28.7
ID-071,"Oneida County",27.2,95,4.3,22.9
ID-073,"Owyhee County",32.6,113,5.6,27
ID-075,"Payette County",35.1,119,7.9,27.2
ID-077,"Power County",27.9,101,5.5,22.4
ID-079,"Shoshone County",29.2,109,5.8,23.4
ID-081,"Teton County",22.4,112,5.5,16.9
ID-083,"Twin Falls County",31.8,109,5.6,26.2
ID-085,"Valley County",24.3,109,4.9,19.4
ID-087,"Washington County",30.4,104,5.2,25.2
IL-001,"Adams County",30.4,108,5.1,25.3
IL-003,"Alexander County",39.3,112,6.0,33.3
IL-005,"Bond County",34.2,108,5.4,28.8
IL-007,"Boone County",26.7,114,7.5,19.2
IL-009,"Brown County",30.6,107,5.4,25.2
IL-011,"Bureau County",27.8,113,6.8,21
IL-013,"Calhoun County",33.1,109,5.3,27.8
IL-015,"Carroll County",27.2,120,8.3,18.9
IL-017,"Cass County",31.2,109,5.8,25.4
IL-019,"Champaign County",31.8,116,7.1,24.7
IL-021,"Christian County",32.6,111,6.1,26.5
IL-023,"Clark County",34.7,118,7.2,27.5
IL-025,"Clay County",35.8,117,6.8,29
IL-027,"Clinton County",35.5,112,5.9,29.6
IL-029,"Coles County",33.4,116,6.9,26.5
IL-031,"Cook County",30.3,119,7.8,22.5
IL-033,"Crawford County",35.7,119,7.1,28.6
IL-035,"Cumberland County",34.2,118,6.8,27.4
IL-037,"DeKalb County",27.1,114,7.1,20
IL-039,"De Witt County",31.3,116,7.0,24.3
IL-041,"Douglas County",33.0,117,7.4,25.6
IL-043,"DuPage County",29.2,118,7.6,21.6
IL-045,"Edgar County",33.4,116,7.0,26.4
IL-047,"Edwards County",37.6,118,7.0,30.6
IL-049,"Effingham County",34.3,114,6.5,27.8
IL-051,"Fayette County",34.0,109,5.7,28.3
IL-053,"Ford County",31.2,120,7.7,23.5
IL-055,"Franklin County",37.3,113,6.1,31.2
IL-057,"Fulton County",29.7,109,5.7,24
IL-059,"Gallatin County",38.0,107,5.6,32.4
IL-061,"Greene County",32.7,108,5.2,27.5
IL-063,"Grundy County",29.7,120,7.6,22.1
IL-065,"Hamilton County",37.7,117,6.5,31.2
IL-067,"Hancock County",29.3,107,5.1,24.2
IL-069,"Hardin County",38.7,111,5.9,32.8
IL-071,"Henderson County",27.8,107,5.1,22.7
IL-073,"Henry County",27.3,109,6.3,21
IL-075,"Iroquois County",32.1,120,8.5,23.6
IL-077,"Jackson County",37.0,109,5.6,31.4
IL-079,"Jasper County",35.2,117,6.9,28.3
IL-081,"Jefferson County",36.9,118,6.6,30.3
IL-083,"Jersey County",33.6,109,5.3,28.3
IL-085,"Jo Daviess County",25.8,116,7.7,18.1
IL-087,"Johnson County",38.0,108,5.6,32.4
IL-089,"Kane County",28.1,116,7.5,20.6
IL-091,"Kankakee County",31.0,120,8.1,22.9
IL-093,"Kendall County",28.8,116,7.2,21.6
IL-095,"Knox County",28.0,109,5.9,22.1
IL-097,"Lake County",29.0,120,8.1,20.9
IL-099,"LaSalle County",28.7,113,7.1,21.6
IL-101,"Lawrence County",36.7,119,6.9,29.8
IL-103,"Lee County",27.2,114,7.3,19.9
IL-105,"Livingston County",30.0,119,7.3,22.7
IL-107,"Logan County",31.7,115,6.8,24.9
IL-109,"McDonough County",29.0,108,5.4,23.6
IL-111,"McHenry County",27.6,120,8.1,19.5
IL-113,"McLean County",30.5,118,7.2,23.3
IL-115,"Macon County",32.0,115,6.6,25.4
IL-117,"Macoupin County",32.8,110,5.4,27.4
IL-119,"Madison County",34.0,102,4.6,29.4
IL-121,"Marion County",35.7,119,6.5,29.2
IL-123,"Marshall County",29.5,114,7.2,22.3
IL-125,"Mason County",31.2,111,6.2,25
IL-127,"Massac County",39.4,112,6.0,33.4
IL-129,"Menard County",31.4,109,6.1,25.3
IL-131,"Mercer County",26.9,109,5.4,21.5
IL-133,"Monroe County",36.0,107,5.1,30.9
IL-135,"Montgomery County",33.0,109,5.5,27.5
IL-137,"Morgan County",31.7,110,5.9,25.8
IL-139,"Moultrie County",32.7,114,6.7,26
IL-141,"Ogle County",27.3,119,8.1,19.2
IL-143,"Peoria County",29.5,111,6.6,22.9
IL-145,"Perry County",36.6,111,5.9,30.7
IL-147,"Piatt County",31.9,115,7.1,24.8
IL-149,"Pike County",31.5,108,5.2,26.3
IL-151,"Pope County",38.4,107,5.7,32.7
IL-153,"Pulaski County",39.2,112,5.9,33.3
IL-155,"Putnam County",28.9,113,6.7,22.2
IL-157,"Randolph County",36.0,107,5.1,30.9
IL-159,"Richland County",36.2,117,6.6,29.6
IL-161,"Rock Island County",26.7,109,5.7,21
IL-163,"St. Clair County",35.0,102,4.7,30.3
IL-165,"Saline County",37.8,111,5.8,32
IL-167,"Sangamon County",32.0,110,6.1,25.9
IL-169,"Schuyler County",30.4,109,5.7,24.7
IL-171,"Scott County",31.9,109,5.5,26.4
IL-173,"Shelby County",33.0,111,6.2,26.8
IL-175,"Stark County",28.4,113,6.7,21.7
IL-177,"Stephenson County",26.4,119,8.2,18.2
IL-179,"Tazewell County",30.8,115,7.1,23.7
IL-181,"Union County",38.1,113,6.0,32.1
IL-183,"Vermilion County",32.1,117,6.9,25.2
IL-185,"Wabash County",38.0,121,7.3,30.7
IL-187,"Warren County",27.5,109,5.3,22.2
IL-189,"Washington County",36.1,113,6.0,30.1
IL-191,"Wayne County",37.3,119,7.0,30.3
IL-193,"White County",37.8,114,6.2,31.6
IL-195,"Whiteside County",27.6,113,7.5,20.1
IL-197,"Will County",29.8,119,7.3,22.5
IL-199,"Williamson County",37.4,110,5.7,31.7
IL-201,"Winnebago County",26.7,115,7.7,19
IL-203,"Woodford County",30.2,119,7.6,22.6
IN-001,"Adams County",32.6,118,8.1,24.5
IN-003,"Allen County",31.8,117,7.8,24
IN-005,"Bartholomew County",36.4,120,7.7,28.7
IN-007,"Benton County",31.5,118,7.8,23.7
IN-009,"Blackford County",34.0,120,8.6,25.4
IN-011,"Boone County",32.9,118,7.8,25.1
IN-013,"Brown County",35.3,119,7.4,27.9
IN-015,"Carroll County",33.0,118,8.4,24.6
IN-017,"Cass County",32.8,120,8.6,24.2
IN-019,"Clark County",38.9,119,7.9,31
IN-021,"Clay County",35.3,120,8.0,27.3
IN-023,"Clinton County",32.6,118,7.8,24.8
IN-025,"Crawford County",37.4,112,6.2,31.2
IN-027,"Daviess County",36.7,118,7.4,29.3
IN-029,"Dearborn County",37.1,119,7.8,29.3
IN-031,"Decatur County",35.7,118,7.4,28.3
IN-033,"DeKalb County",31.0,117,7.8,23.2
IN-035,"Delaware County",34.9,121,9.1,25.8
IN-037,"Dubois County",37.0,114,6.5,30.5
IN-039,"Elkhart County",31.3,120,8.5,22.8
IN-041,"Fayette County",34.6,119,7.7,26.9
IN-043,"Floyd County",39.0,118,7.7,31.3
IN-045,"Fountain County",32.6,118,7.3,25.3
IN-047,"Franklin County",35.6,119,7.5,28.1
IN-049,"Fulton County",31.9,121,8.7,23.2
IN-051,"Gibson County",38.3,121,7.3,31
IN-053,"Grant County",34.2,122,8.9,25.3
IN-055,"Greene County",36.0,120,8.1,27.9
IN-057,"Hamilton County",34.2,120,8.3,25.9
IN-059,"Hancock County",34.6,120,8.0,26.6
IN-061,"Harrison County",38.9,116,7.3,31.6
IN-063,"Hendricks County",33.4,117,7.3,26.1
IN-065,"Henry County",34.1,120,8.4,25.7
IN-067,"Howard County",33.2,120,8.4,24.8
IN-069,"Huntington County",33.0,120,8.4,24.6
IN-071,"Jackson County",36.9,119,7.5,29.4
IN-073,"Jasper County",31.4,119,8.1,23.3
IN-075,"Jay County",33.5,120,8.3,25.2
IN-077,"Jefferson County",38.0,120,8.0,30
IN-079,"Jennings County",37.0,119,7.6,29.4
IN-081,"Johnson County",34.8,120,7.7,27.1
IN-083,"Knox County",37.0,119,7.4,29.6
IN-085,"Kosciusko County",31.8,119,8.6,23.2
IN-087,"LaGrange County",31.1,121,8.4,22.7
IN-089,"Lake County",31.2,120,8.2,23
IN-091,"LaPorte County",31.2,120,8.1,23.1
IN-093,"Lawrence County",36.0,117,7.2,28.8
IN-095,"Madison County",34.9,120,8.9,26
IN-097,"Marion County",34.2,118,7.5,26.7
IN-099,"Marshall County",31.4,120,8.6,22.8
IN-101,"Martin County",36.4,117,7.4,29
IN-103,"Miami County",32.7,119,8.3,24.4
IN-105,"Monroe County",35.0,119,7.4,27.6
IN-107,"Montgomery County",32.8,118,7.7,25.1
IN-109,"Morgan County",34.6,119,7.4,27.2
IN-111,"Newton County",31.7,120,8.4,23.3
IN-113,"Noble County",31.5,121,8.5,23
IN-115,"Ohio County",38.2,120,8.2,30
IN-117,"Orange County",36.8,113,6.8,30
IN-119,"Owen County",35.2,120,7.8,27.4
IN-121,"Parke County",33.1,116,6.7,26.4
IN-123,"Perry County",37.7,107,5.4,32.3
IN-125,"Pike County",37.5,120,7.2,30.3
IN-127,"Porter County",31.2,120,8.2,23
IN-129,"Posey County",37.7,110,5.5,32.2
IN-131,"Pulaski County",31.9,121,8.6,23.3
IN-133,"Putnam County",33.5,118,7.2,26.3
IN-135,"Randolph County",34.0,121,8.7,25.3
IN-137,"Ripley County",36.4,119,7.6,28.8
IN-139,"Rush County",34.8,119,7.8,27
IN-141,"St. Joseph County",31.3,120,8.4,22.9
IN-143,"Scott County",38.0,119,7.9,30.1
IN-145,"Shelby County",35.5,120,7.9,27.6
IN-147,"Spencer County",37.7,105,5.4,32.3
IN-149,"Starke County",31.6,121,8.6,23
IN-151,"Steuben County",30.4,118,8.1,22.3
IN-153,"Sullivan County",36.4,120,8.2,28.2
IN-155,"Switzerland County",38.6,119,8.3,30.3
IN-157,"Tippecanoe County",32.5,118,7.8,24.7
IN-159,"Tipton County",33.3,119,8.2,25.1
IN-161,"Union County",34.9,119,7.8,27.1
IN-163,"Vanderburgh County",37.8,111,5.7,32.1
IN-165,"Vermillion County",33.2,117,6.8,26.4
IN-167,"Vigo County",35.2,119,7.8,27.4
IN-169,"Wabash County",32.7,119,8.1,24.6
IN-171,"Warren County",31.9,117,7.2,24.7
IN-173,"Warrick County",37.6,112,6.0,31.6
IN-175,"Washington County",37.2,116,7.4,29.8
IN-177,"Wayne County",34.2,120,8.1,26.1
IN-179,"Wells County",33.1,119,8.4,24.7
IN-181,"White County",32.0,118,8.1,23.9
IN-183,"Whitley County",32.2,120,8.5,23.7
IA-001,"Adair County",24.4,99,5.0,19.4
IA-003,"Adams County",24.9,96,4.7,20.2
IA-005,"Allamakee County",23.0,116,8.2,14.8
IA-007,"Appanoose County",26.1,96,4.1,22
IA-009,"Audubon County",23.5,101,5.4,18.1
IA-011,"Benton County",22.2,101,4.8,17.4
IA-013,"Black Hawk County",22.0,104,5.7,16.3
IA-015,"Boone County",23.0,100,5.3,17.7
IA-017,"Bremer County",21.5,108,6.5,15
IA-019,"Buchanan County",21.7,105,5.7,16
IA-021,"Buena Vista County",20.2,96,5.0,15.2
IA-023,"Butler County",21.5,106,6.2,15.3
IA-025,"Calhoun County",20.8,94,4.3,16.5
IA-027,"Carroll County",22.5,101,5.3,17.2
IA-029,"Cass County",24.7,100,5.0,19.7
IA-031,"Cedar County",25.3,110,6.0,19.3
IA-033,"Cerro Gordo County",19.9,107,6.2,13.7
IA-035,"Cherokee County",20.2,96,4.8,15.4
IA-037,"Chickasaw County",20.6,110,6.6,14
IA-039,"Clarke County",25.5,98,4.7,20.8
IA-041,"Clay County",19.5,98,5.5,14
IA-043,"Clayton County",23.4,115,7.8,15.6
IA-045,"Clinton County",27.0,114,7.3,19.7
IA-047,"Crawford County",22.7,100,5.3,17.4
IA-049,"Dallas County",24.1,99,4.9,19.2
IA-051,"Davis County",26.5,98,4.3,22.2
IA-053,"Decatur County",26.4,98,4.8,21.6
IA-055,"Delaware County",23.6,116,7.5,16.1
IA-057,"Des Moines County",27.3,105,5.0,22.3
IA-059,"Dickinson County",18.1,94,5.0,13.1
IA-061,"Dubuque County",24.7,116,7.5,17.2
IA-063,"Emmet County",18.4,95,5.4,13
IA-065,"Fayette County",21.2,108,6.6,14.6
IA-067,"Floyd County",20.6,107,6.4,14.2
IA-069,"Franklin County",20.7,104,6.0,14.7
IA-071,"Fremont County",27.0,98,4.6,22.4
IA-073,"Greene County",22.8,99,5.1,17.7
IA-075,"Grundy County",22.5,106,6.1,16.4
IA-077,"Guthrie County",24.2,101,5.6,18.6
IA-079,"Hamilton County",20.9,98,4.7,16.2
IA-081,"Hancock County",19.6,102,5.8,13.8
IA-083,"Hardin County",21.7,100,5.6,16.1
IA-085,"Harrison County",24.2,98,4.9,19.3
IA-087,"Henry County",26.2,100,4.2,22
IA-089,"Howard County",19.8,110,7.1,12.7
IA-091,"Humboldt County",20.1,96,4.6,15.5
IA-093,"Ida County",21.6,99,5.0,16.6
IA-095,"Iowa County",24.5,107,5.8,18.7
IA-097,"Jackson County",26.3,115,7.6,18.7
IA-099,"Jasper County",24.2,102,5.1,19.1
IA-101,"Jefferson County",25.6,97,4.1,21.5
IA-103,"Johnson County",25.1,107,5.8,19.3
IA-105,"Jones County",25.4,116,7.5,17.9
IA-107,"Keokuk County",25.3,105,5.3,20
IA-109,"Kossuth County",19.2,99,5.4,13.8
IA-111,"Lee County",27.9,100,4.3,23.6
IA-113,"Linn County",23.2,105,5.7,17.5
IA-115,"Louisa County",26.5,106,5.0,21.5
IA-117,"Lucas County",25.6,97,4.5,21.1
IA-119,"Lyon County",18.8,92,4.9,13.9
IA-121,"Madison County",24.6,97,4.6,20
IA-123,"Mahaska County",24.9,98,4.6,20.3
IA-125,"Marion County",24.4,92,3.5,20.9
IA-127,"Marshall County",23.6,106,5.9,17.7
IA-129,"Mills County",26.1,96,4.5,21.6
IA-131,"Mitchell County",19.9,108,6.9,13
IA-133,"Monona County",23.3,99,5.1,18.2
IA-135,"Monroe County",25.8,98,4.4,21.4
IA-137,"Montgomery County",25.8,98,5.0,20.8
IA-139,"Muscatine County",25.6,104,4.9,20.7
IA-141,"O'Brien County",19.0,95,4.8,14.2
IA-143,"Osceola County",17.6,92,4.3,13.3
IA-145,"Page County",27.0,102,5.4,21.6
IA-147,"Palo Alto County",18.9,97,4.7,14.2
IA-149,"Plymouth County",20.7,93,4.6,16.1
IA-151,"Pocahontas County",19.9,95,4.3,15.6
IA-153,"Polk County",24.1,98,4.5,19.6
IA-155,"Pottawattamie County",24.9,97,4.5,20.4
IA-157,"Poweshiek County",24.4,104,5.8,18.6
IA-159,"Ringgold County",26.1,100,5.0,21.1
IA-161,"Sac County",21.2,97,4.9,16.3
IA-163,"Scott County",26.2,108,5.8,20.4
IA-165,"Shelby County",23.6,99,5.0,18.6
IA-167,"Sioux County",19.2,91,4.3,14.9
IA-169,"Story County",22.8,99,5.1,17.7
IA-171,"Tama County",23.1,104,5.7,17.4
IA-173,"Taylor County",26.2,101,5.1,21.1
IA-175,"Union County",25.0,97,4.8,20.2
IA-177,"Van Buren County",26.5,97,3.8,22.7
IA-179,"Wapello County",26.0,99,4.7,21.3
IA-181,"Warren County",24.8,94,4.0,20.8
IA-183,"Washington County",25.8,107,5.5,20.3
IA-185,"Wayne County",25.9,97,4.3,21.6
IA-187,"Webster County",21.0,96,4.6,16.4
IA-189,"Winnebago County",19.1,104,6.0,13.1
IA-191,"Winneshiek County",21.1,112,7.6,13.5
IA-193,"Woodbury County",22.2,98,5.0,17.2
IA-195,"Worth County",19.2,107,6.3,12.9
IA-197,"Wright County",19.9,98,4.9,15
KS-001,"Allen County",35.7,111,5.3,30.4
KS-003,"Anderson County",34.2,106,4.8,29.4
KS-005,"Atchison County",30.7,104,4.8,25.9
KS-007,"Barber County",36.9,113,5.5,31.4
KS-009,"Barton County",32.2,94,3.7,28.5
KS-011,"Bourbon County",35.9,110,5.3,30.6
KS-013,"Brown County",29.4,103,4.7,24.7
KS-015,"Butler County",35.4,112,5.4,30
KS-017,"Chase County",33.3,106,4.9,28.4
KS-019,"Chautauqua County",37.9,115,5.5,32.4
KS-021,"Cherokee County",38.9,116,6.0,32.9
KS-023,"Cheyenne County",33.3,120,6.2,27.1
KS-025,"Clark County",36.8,107,4.9,31.9
KS-027,"Clay County",31.3,104,4.9,26.4
KS-029,"Cloud County",30.7,100,4.7,26
KS-031,"Coffey County",34.2,108,5.0,29.2
KS-033,"Comanche County",36.9,110,5.4,31.5
KS-035,"Cowley County",37.4,115,5.8,31.6
KS-037,"Crawford County",37.3,113,5.6,31.7
KS-039,"Decatur County",31.6,106,5.6,26
KS-041,"Dickinson County",32.8,107,5.3,27.5
KS-043,"Doniphan County",30.1,102,4.6,25.5
KS-045,"Douglas County",32.6,105,4.7,27.9
KS-047,"Edwards County",34.6,107,4.9,29.7
KS-049,"Elk County",36.8,111,5.5,31.3
KS-051,"Ellis County",32.7,101,4.8,27.9
KS-053,"Ellsworth County",33.2,106,5.1,28.1
KS-055,"Finney County",35.2,118,6.3,28.9
KS-057,"Ford County",35.4,111,5.2,30.2
KS-059,"Franklin County",33.8,108,5.2,28.6
KS-061,"Geary County",32.4,108,5.3,27.1
KS-063,"Gove County",33.4,110,5.4,28
KS-065,"Graham County",32.0,97,4.6,27.4
KS-067,"Grant County",36.2,114,5.7,30.5
KS-069,"Gray County",35.3,113,5.5,29.8
KS-071,"Greeley County",35.4,122,7.2,28.2
KS-073,"Greenwood County",35.1,110,5.3,29.8
KS-075,"Hamilton County",35.9,123,6.3,29.6
KS-077,"Harper County",37.5,113,5.8,31.7
KS-079,"Harvey County",34.9,108,5.4,29.5
KS-081,"Haskell County",35.8,112,5.6,30.2
KS-083,"Hodgeman County",34.8,109,5.1,29.7
KS-085,"Jackson County",30.7,106,5.1,25.6
KS-087,"Jefferson County",31.5,103,4.7,26.8
KS-089,"Jewell County",30.0,102,5.4,24.6
KS-091,"Johnson County",32.5,103,4.7,27.8
KS-093,"Kearny County",35.7,121,6.5,29.2
KS-095,"Kingman County",36.1,112,5.5,30.6
KS-097,"Kiowa County",35.6,110,5.1,30.5
KS-099,"Labette County",38.6,116,5.9,32.7
KS-101,"Lane County",34.2,114,5.9,28.3
KS-103,"Leavenworth County",32.0,104,4.9,27.1
KS-105,"Lincoln County",32.2,106,5.2,27
KS-107,"Linn County",34.9,109,5.2,29.7
KS-109,"Logan County",34.5,118,6.5,28
KS-111,"Lyon County",33.5,108,5.4,28.1
KS-113,"McPherson County",34.2,109,5.8,28.4
KS-115,"Marion County",33.8,110,5.4,28.4
KS-117,"Marshall County",28.9,101,4.4,24.5
KS-119,"Meade County",36.4,106,4.6,31.8
KS-121,"Miami County",33.5,105,4.9,28.6
KS-123,"Mitchell County",31.0,102,5.0,26
KS-125,"Montgomery County",38.4,114,5.7,32.7
KS-127,"Morris County",32.9,109,5.6,27.3
KS-129,"Morton County",37.6,116,5.6,32
KS-131,"Nemaha County",29.1,104,4.8,24.3
KS-133,"Neosho County",36.9,112,5.3,31.6
KS-135,"Ness County",33.9,110,4.9,29
KS-137,"Norton County",30.5,93,4.6,25.9
KS-139,"Osage County",34.0,111,5.9,28.1
KS-141,"Osborne County",31.1,98,4.6,26.5
KS-143,"Ottawa County",32.3,107,5.3,27
KS-145,"Pawnee County",33.3,97,4.2,29.1
KS-147,"Phillips County",30.6,95,4.6,26
KS-149,"Pottawatomie County",30.8,106,5.0,25.8
KS-151,"Pratt County",35.3,112,5.1,30.2
KS-153,"Rawlins County",32.4,113,5.8,26.6
KS-155,"Reno County",34.9,108,5.1,29.8
KS-157,"Republic County",29.0,98,4.5,24.5
KS-159,"Rice County",33.7,105,4.8,28.9
KS-161,"Riley County",31.4,107,5.0,26.4
KS-163,"Rooks County",31.6,94,4.5,27.1
KS-165,"Rush County",32.8,99,4.3,28.5
KS-167,"Russell County",32.3,102,4.7,27.6
KS-169,"Saline County",33.4,108,5.6,27.8
KS-171,"Scott County",35.0,121,6.8,28.2
KS-173,"Sedgwick County",36.3,114,5.8,30.5
KS-175,"Seward County",36.6,110,5.0,31.6
KS-177,"Shawnee County",32.7,107,5.5,27.2
KS-179,"Sheridan County",32.2,105,5.2,27
KS-181,"Sherman County",33.6,120,6.5,27.1
KS-183,"Smith County",30.1,98,4.8,25.3
KS-185,"Stafford County",33.8,102,4.5,29.3
KS-187,"Stanton County",36.6,119,5.7,30.9
KS-189,"Stevens County",37.2,117,5.7,31.5
KS-191,"Sumner County",37.6,114,6.0,31.6
KS-193,"Thomas County",33.0,116,6.1,26.9
KS-195,"Trego County",33.1,102,4.8,28.3
KS-197,"Wabaunsee County",33.2,112,6.3,26.9
KS-199,"Wallace County",35.3,122,7.4,27.9
KS-201,"Washington County",28.5,94,3.8,24.7
KS-203,"Wichita County",35.4,122,7.2,28.2
KS-205,"Wilson County",37.2,111,5.5,31.7
KS-207,"Woodson County",35.6,110,5.3,30.3
KS-209,"Wyandotte County",32.2,104,4.8,27.4
KY-001,"Adair County",40.8,112,6.6,34.2
KY-003,"Allen County",41.7,109,6.1,35.6
KY-005,"Anderson County",39.7,115,7.5,32.2
KY-007,"Ballard County",39.8,112,5.9,33.9
KY-009,"Barren County",41.2,111,6.1,35.1
KY-011,"Bath County",39.4,114,6.8,32.6
KY-013,"Bell County",39.4,106,4.7,34.7
KY-015,"Boone County",38.1,120,8.0,30.1
KY-017,"Bourbon County",39.5,118,7.8,31.7
KY-019,"Boyd County",39.5,114,6.8,32.7
KY-021,"Boyle County",39.2,113,6.3,32.9
KY-023,"Bracken County",38.5,118,7.7,30.8
KY-025,"Breathitt County",41.1,111,6.5,34.6
KY-027,"Breckinridge County",39.3,115,6.6,32.7
KY-029,"Bullitt County",40.2,116,7.4,32.8
KY-031,"Butler County",40.9,112,6.4,34.5
KY-033,"Caldwell County",40.8,114,6.4,34.4
KY-035,"Calloway County",40.6,103,4.8,35.8
KY-037,"Campbell County",38.3,120,7.7,30.6
KY-039,"Carlisle County",40.3,112,5.9,34.4
KY-041,"Carroll County",39.3,120,8.3,31
KY-043,"Carter County",38.9,114,6.8,32.1
KY-045,"Casey County",39.8,112,6.4,33.4
KY-047,"Christian County",41.7,114,6.5,35.2
KY-049,"Clark County",39.9,115,7.5,32.4
KY-051,"Clay County",40.6,110,5.7,34.9
KY-053,"Clinton County",42.0,113,6.7,35.3
KY-055,"Crittenden County",39.6,112,6.1,33.5
KY-057,"Cumberland County",42.2,114,6.6,35.6
KY-059,"Daviess County",38.7,107,5.5,33.2
KY-061,"Edmonson County",41.4,114,6.9,34.5
KY-063,"Elliott County",39.5,115,6.8,32.7
KY-065,"Estill County",40.4,112,6.5,33.9
KY-067,"Fayette County",39.6,117,7.7,31.9
KY-069,"Fleming County",38.8,115,6.9,31.9
KY-071,"Floyd County",41.8,115,6.9,34.9
KY-073,"Franklin County",39.9,117,8.0,31.9
KY-075,"Fulton County",40.9,106,5.6,35.3
KY-077,"Gallatin County",39.3,119,8.3,31
KY-079,"Garrard County",39.5,109,6.2,33.3
KY-081,"Grant County",38.9,120,8.1,30.8
KY-083,"Graves County",40.5,106,5.6,34.9
KY-085,"Grayson County",40.4,114,7.1,33.3
KY-087,"Green County",40.8,113,6.8,34
KY-089,"Greenup County",38.6,115,6.9,31.7
KY-091,"Hancock County",38.6,108,5.5,33.1
KY-093,"Hardin County",40.0,116,7.3,32.7
KY-095,"Harlan County",39.0,111,5.5,33.5
KY-097,"Harrison County",39.3,118,7.9,31.4
KY-099,"Hart County",40.9,113,6.9,34
KY-101,"Henderson County",38.1,105,5.1,33
KY-103,"Henry County",39.2,117,8.1,31.1
KY-105,"Hickman County",40.6,106,5.7,34.9
KY-107,"Hopkins County",40.7,115,6.4,34.3
KY-109,"Jackson County",39.9,110,6.1,33.8
KY-111,"Jefferson County",40.0,118,7.6,32.4
KY-113,"Jessamine County",39.7,114,7.2,32.5
KY-115,"Johnson County",41.2,115,7.4,33.8
KY-117,"Kenton County",38.1,120,7.8,30.3
KY-119,"Knott County",40.9,114,6.4,34.5
KY-121,"Knox County",40.5,109,5.3,35.2
KY-123,"Larue County",40.2,115,7.2,33
KY-125,"Laurel County",40.7,111,6.0,34.7
KY-127,"Lawrence County",40.7,116,7.4,33.3
KY-129,"Lee County",40.8,112,6.4,34.4
KY-131,"Leslie County",40.4,112,5.8,34.6
KY-133,"Letcher County",40.1,113,5.9,34.2
KY-135,"Lewis County",38.3,115,6.9,31.4
KY-137,"Lincoln County",39.3,109,6.1,33.2
KY-139,"Livingston County",39.9,113,6.1,33.8
KY-141,"Logan County",41.3,109,6.0,35.3
KY-143,"Lyon County",40.8,111,5.9,34.9
KY-145,"McCracken County",40.1,113,6.1,34
KY-147,"McCreary County",41.1,112,6.1,35
KY-149,"McLean County",39.5,111,5.8,33.7
KY-151,"Madison County",39.9,110,6.5,33.4
KY-153,"Magoffin County",40.9,114,7.0,33.9
KY-155,"Marion County",40.0,114,6.8,33.2
KY-157,"Marshall County",40.6,106,5.5,35.1
KY-159,"Martin County",42.0,117,7.5,34.5
KY-161,"Mason County",38.4,118,7.5,30.9
KY-163,"Meade County",39.0,115,6.7,32.3
KY-165,"Menifee County",39.6,114,6.6,33
KY-167,"Mercer County",39.6,114,7.0,32.6
KY-169,"Metcalfe County",40.7,111,6.2,34.5
KY-171,"Monroe County",41.5,110,6.0,35.5
KY-173,"Montgomery County",39.7,116,7.4,32.3
KY-175,"Morgan County",40.0,114,6.7,33.3
KY-177,"Muhlenberg County",40.5,110,5.9,34.6
KY-179,"Nelson County",40.1,115,7.2,32.9
KY-181,"Nicholas County",39.2,118,7.6,31.6
KY-183,"Ohio County",40.0,112,6.3,33.7
KY-185,"Oldham County",39.1,118,7.9,31.2
KY-187,"Owen County",39.4,119,8.2,31.2
KY-189,"Owsley County",41.0,112,6.2,34.8
KY-191,"Pendleton County",38.9,120,7.9,31
KY-193,"Perry County",40.9,112,6.2,34.7
KY-195,"Pike County",41.6,115,6.6,35
KY-197,"Powell County",40.2,113,6.8,33.4
KY-199,"Pulaski County",40.8,112,6.4,34.4
KY-201,"Robertson County",38.9,118,7.7,31.2
KY-203,"Rockcastle County",39.8,109,6.0,33.8
KY-205,"Rowan County",38.7,111,6.2,32.5
KY-207,"Russell County",41.0,112,6.5,34.5
KY-209,"Scott County",39.5,119,8.0,31.5
KY-211,"Shelby County",39.3,117,7.8,31.5
KY-213,"Simpson County",41.6,110,6.1,35.5
KY-215,"Spencer County",39.7,116,7.5,32.2
KY-217,"Taylor County",40.3,114,6.8,33.5
KY-219,"Todd County",41.6,113,6.3,35.3
KY-221,"Trigg County",41.4,109,5.9,35.5
KY-223,"Trimble County",38.9,119,8.2,30.7
KY-225,"Union County",38.5,107,5.4,33.1
KY-227,"Warren County",41.8,113,6.6,35.2
KY-229,"Washington County",39.7,114,7.0,32.7
